No.,Name,Location,Hectares,bandNumber,bandName,address
9230,OCHAPOWACE 71-50,14 KM SOUTHEAST OF WHITEWOOD AND 44 KM NORTH OF ESTERHAZY,124.9,363,Ochapowace,"PO BOX 550, WHITEWOOD, SK, S0G 5C0"
9222,OCHAPOWACE 71-51,6 KM SOUTH OF ATWATER & 18 KM NORTHEAST OF DUBUC,64.4,363,Ochapowace,"PO BOX 550, WHITEWOOD, SK, S0G 5C0"
9675,OCHAPOWACE 71-52,,258.2,363,Ochapowace,"PO BOX 550, WHITEWOOD, SK, S0G 5C0"
9237,OCHAPOWACE 71-53,16 KM SOUTHEAST OF BIRD'S POINT,129.5,363,Ochapowace,"PO BOX 550, WHITEWOOD, SK, S0G 5C0"
9238,OCHAPOWACE 71-54,16 KM SOUTHEAST OF BIRD'S POINT,129.1,363,Ochapowace,"PO BOX 550, WHITEWOOD, SK, S0G 5C0"
9231,OCHAPOWACE 71-55,8 KM NORTH OF STOCKHOLM,64.8,363,Ochapowace,"PO BOX 550, WHITEWOOD, SK, S0G 5C0"
9299,OCHAPOWACE 71-56,3 KM WEST OF BANGOR,64.8,363,Ochapowace,"PO BOX 550, WHITEWOOD, SK, S0G 5C0"
9300,OCHAPOWACE 71-57,14 KM NORTH OF WHITEWOOD,315.3,363,Ochapowace,"PO BOX 550, WHITEWOOD, SK, S0G 5C0"
9232,OCHAPOWACE 71-59,15 KM NORTHEAST OF WHITEWOOD,64.0,363,Ochapowace,"PO BOX 550, WHITEWOOD, SK, S0G 5C0"
9132,OCHAPOWACE 71-6,22 KM NORTH OF WHITEWOOD,193.8,363,Ochapowace,"PO BOX 550, WHITEWOOD, SK, S0G 5C0"
9259,OCHAPOWACE 71-60,7 KM NORTH OF MOOSOMIN,64.7,363,Ochapowace,"PO BOX 550, WHITEWOOD, SK, S0G 5C0"
9260,OCHAPOWACE 71-61,19 KM NORTHEAST OF WHITEWOOD,64.5,363,Ochapowace,"PO BOX 550, WHITEWOOD, SK, S0G 5C0"
9261,OCHAPOWACE 71-62,20 KM NORTHEAST OF WHITEWOOD,64.4,363,Ochapowace,"PO BOX 550, WHITEWOOD, SK, S0G 5C0"
9258,OCHAPOWACE 71-63,17 KM NORTH OF BURROWS,191.9,363,Ochapowace,"PO BOX 550, WHITEWOOD, SK, S0G 5C0"
9676,OCHAPOWACE 71-64,,193.8,363,Ochapowace,"PO BOX 550, WHITEWOOD, SK, S0G 5C0"
9365,OCHAPOWACE 71-65,15 KM NORTH OF WHITEWOOD,503.9,363,Ochapowace,"PO BOX 550, WHITEWOOD, SK, S0G 5C0"
9366,OCHAPOWACE 71-66,15 KM NORTH OF BROADVIEW,275.2,363,Ochapowace,"PO BOX 550, WHITEWOOD, SK, S0G 5C0"
9367,OCHAPOWACE 71-67,20 KM SOUTH OF ESTERHAZY,64.8,363,Ochapowace,"PO BOX 550, WHITEWOOD, SK, S0G 5C0"
9677,OCHAPOWACE 71-68,,129.2,363,Ochapowace,"PO BOX 550, WHITEWOOD, SK, S0G 5C0"
9605,OCHAPOWACE 71-69,,63.9,363,Ochapowace,"PO BOX 550, WHITEWOOD, SK, S0G 5C0"
9133,OCHAPOWACE 71-7,11 KM NORTHEAST OF DUBUC,194.2,363,Ochapowace,"PO BOX 550, WHITEWOOD, SK, S0G 5C0"
9368,OCHAPOWACE 71-70,14 KM SOUTH OF WHITEWOOD,64.0,363,Ochapowace,"PO BOX 550, WHITEWOOD, SK, S0G 5C0"
9324,OCHAPOWACE 71-71,12 KM SOUTH OF BROADVIEW,64.8,363,Ochapowace,"PO BOX 550, WHITEWOOD, SK, S0G 5C0"
9364,OCHAPOWACE 71-72,2 KM NORTH OF DUBUC,193.2,363,Ochapowace,"PO BOX 550, WHITEWOOD, SK, S0G 5C0"
9386,OCHAPOWACE 71-73,14 KM NORTH OF WHITEWOOD,193.3,363,Ochapowace,"PO BOX 550, WHITEWOOD, SK, S0G 5C0"
9387,OCHAPOWACE 71-74,16 KM NORTHEAST OF WHITEWOOD,63.8,363,Ochapowace,"PO BOX 550, WHITEWOOD, SK, S0G 5C0"
9567,OCHAPOWACE 71-75,,453.4,363,Ochapowace,"PO BOX 550, WHITEWOOD, SK, S0G 5C0"
9496,OCHAPOWACE 71-76,,64.8,363,Ochapowace,"PO BOX 550, WHITEWOOD, SK, S0G 5C0"
9322,OCHAPOWACE 71-77,15 KM NORTH OF WHITEWOOD,64.2,363,Ochapowace,"PO BOX 550, WHITEWOOD, SK, S0G 5C0"
9323,OCHAPOWACE 71-78,7 KM SOUTH OF STOCKHOLM,63.8,363,Ochapowace,"PO BOX 550, WHITEWOOD, SK, S0G 5C0"
9568,OCHAPOWACE 71-79,,193.8,363,Ochapowace,"PO BOX 550, WHITEWOOD, SK, S0G 5C0"
9134,OCHAPOWACE 71-8,1 KM NORTHEAST OF WEST END,129.5,363,Ochapowace,"PO BOX 550, WHITEWOOD, SK, S0G 5C0"
9369,OCHAPOWACE 71-80,13 KM NORTH OF WHITEWOOD,386.7,363,Ochapowace,"PO BOX 550, WHITEWOOD, SK, S0G 5C0"
9569,OCHAPOWACE 71-82,,127.3,363,Ochapowace,"PO BOX 550, WHITEWOOD, SK, S0G 5C0"
9601,OCHAPOWACE 71-83,,127.5,363,Ochapowace,"PO BOX 550, WHITEWOOD, SK, S0G 5C0"
9570,OCHAPOWACE 71-86,,130.3,363,Ochapowace,"PO BOX 550, WHITEWOOD, SK, S0G 5C0"
9629,OCHAPOWACE 71-87,,322.7,363,Ochapowace,"PO BOX 550, WHITEWOOD, SK, S0G 5C0"
9370,OCHAPOWACE 71-88,11 KM NORTH OF WHITEWOOD,64.3,363,Ochapowace,"PO BOX 550, WHITEWOOD, SK, S0G 5C0"
9371,OCHAPOWACE 71-89,20 KM SOUTH OF ESTERHAZY,138.8,363,Ochapowace,"PO BOX 550, WHITEWOOD, SK, S0G 5C0"
9135,OCHAPOWACE 71-9,16 KM NORTHEAST OF WHITEWOOD,64.2,363,Ochapowace,"PO BOX 550, WHITEWOOD, SK, S0G 5C0"
9606,OCHAPOWACE 71-91,,128.4,363,Ochapowace,"PO BOX 550, WHITEWOOD, SK, S0G 5C0"
9602,OCHAPOWACE 71-92,,45.0,363,Ochapowace,"PO BOX 550, WHITEWOOD, SK, S0G 5C0"
9414,OCHAPOWACE 71-93,16 KM NORTHEAST OF WHITEWOOD,62.8,363,Ochapowace,"PO BOX 550, WHITEWOOD, SK, S0G 5C0"
9982,OCHAPOWACE 71-94,NE 1/4 SEC 17 TWP 15 RGE 4 W2M,59.2,363,Ochapowace,"PO BOX 550, WHITEWOOD, SK, S0G 5C0"
9372,OCHAPOWACE 71-95,14 KM NORTH OF WHITEWOOD,64.4,363,Ochapowace,"PO BOX 550, WHITEWOOD, SK, S0G 5C0"
9373,OCHAPOWACE 71-96,17 KM NORTH OF WHITEWOOD,16.2,363,Ochapowace,"PO BOX 550, WHITEWOOD, SK, S0G 5C0"
9607,OCHAPOWACE 71-97,,129.5,363,Ochapowace,"PO BOX 550, WHITEWOOD, SK, S0G 5C0"
9576,OCHAPOWACE 71-98,,70.1,363,Ochapowace,"PO BOX 550, WHITEWOOD, SK, S0G 5C0"
9577,OCHAPOWACE 71-99,,61.8,363,Ochapowace,"PO BOX 550, WHITEWOOD, SK, S0G 5C0"
9329,TREATY FOUR RESERVE GROUNDS 77,ADJACENT TO AND WEST OF FORT QU'APPELLE,99.2,378,Carry The Kettle,"PO BOX 57, SINTALUTA, SK, S0G 4N0"
6613,LITTLE BONE 74B,"TWP 23 & 24, RANGES 3 & 4, W2M",190.3,364,Zagime Anishinabek,"PO BOX 339, GRENFELL, SK, S0G 2B0"
6548,MINOAHCHAK 74C,"SEC 6 SE 1/4 SEC 7 & SW 1/4 SEC 7 TWP 24, RGE 3 & FRT SE 1/4 SEC 12, TWP 24, RGE 4 ALL W2M",408.7,364,Zagime Anishinabek,"PO BOX 339, GRENFELL, SK, S0G 2B0"
6546,SAKIMAY 74,16 KM NW/NO OF/DE BROADVIEW,8751.1,364,Zagime Anishinabek,"PO BOX 339, GRENFELL, SK, S0G 2B0"
9182,SAKIMAY 74-1,17.5 KM WEST OF SALTCOATS,65.0,364,Zagime Anishinabek,"PO BOX 339, GRENFELL, SK, S0G 2B0"
9726,SAKIMAY 74-10,,129.5,364,Zagime Anishinabek,"PO BOX 339, GRENFELL, SK, S0G 2B0"
9681,SAKIMAY 74-11,,194.2,364,Zagime Anishinabek,"PO BOX 339, GRENFELL, SK, S0G 2B0"
9653,SAKIMAY 74-12,,62.2,364,Zagime Anishinabek,"PO BOX 339, GRENFELL, SK, S0G 2B0"
9887,SAKIMAY 74-14,,59.4,364,Zagime Anishinabek,"PO BOX 339, GRENFELL, SK, S0G 2B0"
9731,SAKIMAY 74-16,,62.4,364,Zagime Anishinabek,"PO BOX 339, GRENFELL, SK, S0G 2B0"
9672,SAKIMAY 74-17,,143.1,364,Zagime Anishinabek,"PO BOX 339, GRENFELL, SK, S0G 2B0"
9193,SAKIMAY 74-2,3 KM NORTH OF MELVILLE BEACH,170.2,364,Zagime Anishinabek,"PO BOX 339, GRENFELL, SK, S0G 2B0"
9184,SAKIMAY 74-3,17 KM WEST OF SALTCOATS,194.1,364,Zagime Anishinabek,"PO BOX 339, GRENFELL, SK, S0G 2B0"
9185,SAKIMAY 74-4,10 KM SOUTHEAST OF MELVILLE,567.3,364,Zagime Anishinabek,"PO BOX 339, GRENFELL, SK, S0G 2B0"
9727,SAKIMAY 74-5,,128.3,364,Zagime Anishinabek,"PO BOX 339, GRENFELL, SK, S0G 2B0"
9183,SAKIMAY 74-6,7 KM EAST OF GRAND COULEE,116.6,364,Zagime Anishinabek,"PO BOX 339, GRENFELL, SK, S0G 2B0"
9181,SAKIMAY 74-7,SITUATED IN THE CITY OF YORKTON,0.3,364,Zagime Anishinabek,"PO BOX 339, GRENFELL, SK, S0G 2B0"
9186,SAKIMAY 74-9,12 KM SOUTH OF KILLALY,232.2,364,Zagime Anishinabek,"PO BOX 339, GRENFELL, SK, S0G 2B0"
6547,SHESHEEP 74A,"TWP 19, RGE 6, W2M, ON LEFT BANK OF QU'APPELLE RIVER AT THE WEST END OF CROOKED LAKE",1426.4,364,Zagime Anishinabek,"PO BOX 339, GRENFELL, SK, S0G 2B0"
9329,TREATY FOUR RESERVE GROUNDS 77,ADJACENT TO AND WEST OF FORT QU'APPELLE,99.2,378,Carry The Kettle,"PO BOX 57, SINTALUTA, SK, S0G 4N0"
9329,TREATY FOUR RESERVE GROUNDS 77,ADJACENT TO AND WEST OF FORT QU'APPELLE,99.2,378,Carry The Kettle,"PO BOX 57, SINTALUTA, SK, S0G 4N0"
6549,WHITE BEAR 70,13 KM N/N OF/DE CARLYLE,17192.2,366,Cote First Nation 366,"PO BOX 1659, KAMSACK, SK, S0A 1S0"
6550,COTE 64,16 KM W/O OF/DE MANITOBA,8088.2,366,Cote First Nation 366,"PO BOX 1659, KAMSACK, SK, S0A 1S0"
9329,TREATY FOUR RESERVE GROUNDS 77,ADJACENT TO AND WEST OF FORT QU'APPELLE,99.2,378,Carry The Kettle,"PO BOX 57, SINTALUTA, SK, S0G 4N0"
6551,KEESEEKOOSE 66,16 KM N/N OF/DE KAMSACK,4415.9,367,Keeseekoose,"PO BOX 1120, KAMSACK, SK, S0A 1S0"
9233,KEESEEKOOSE 66-CA-01,16 KM SOUTHEAST OF KAMSACK & 61 KM NORTHWEST OF YORKTON,64.8,367,Keeseekoose,"PO BOX 1120, KAMSACK, SK, S0A 1S0"
9245,KEESEEKOOSE 66-CA-02,35 KM SOUTH OF KAMSACK & 47 KM EAST OF YORKTON,64.8,367,Keeseekoose,"PO BOX 1120, KAMSACK, SK, S0A 1S0"
9494,KEESEEKOOSE 66-CA-03,,571.7,367,Keeseekoose,"PO BOX 1120, KAMSACK, SK, S0A 1S0"
9267,KEESEEKOOSE 66-CA-04,39 KM EAST OF YORKTON,256.8,367,Keeseekoose,"PO BOX 1120, KAMSACK, SK, S0A 1S0"
9250,KEESEEKOOSE 66-CA-05,46 KM NORTH OF LANGENBURG 51 KM EAST OF YORKTON,386.5,367,Keeseekoose,"PO BOX 1120, KAMSACK, SK, S0A 1S0"
9248,KEESEEKOOSE 66-CA-06,54 KM EAST OF YORKTON 46 KM SOUTH OF KAMSACK,322.5,367,Keeseekoose,"PO BOX 1120, KAMSACK, SK, S0A 1S0"
9268,KEESEEKOOSE 66-CH-01,29 KM NORTH OF LANGENBURG,64.3,367,Keeseekoose,"PO BOX 1120, KAMSACK, SK, S0A 1S0"
9252,KEESEEKOOSE 66-CH-03,44 KM NORTH OF ESTERHAZY 58 KM SOUTH OF KAMSACK,64.7,367,Keeseekoose,"PO BOX 1120, KAMSACK, SK, S0A 1S0"
9287,KEESEEKOOSE 66-CH-04,"30 KM SOUTH OF LANGENBURG, 55 KM EAST OF YORKTON",130.3,367,Keeseekoose,"PO BOX 1120, KAMSACK, SK, S0A 1S0"
9249,KEESEEKOOSE 66-CO-02,23 KM SOUTHEAST OF KAMSACK 64 KM NORTHEAST OF YORKTON,129.5,367,Keeseekoose,"PO BOX 1120, KAMSACK, SK, S0A 1S0"
9246,KEESEEKOOSE 66-CO-O1,16 KM SOUTHEAST OF KAMSACK & 61 KM NORTHEAST OF YORKTON,63.6,367,Keeseekoose,"PO BOX 1120, KAMSACK, SK, S0A 1S0"
9362,KEESEEKOOSE 66-KE-01,29 KM NORTHWEST OF KAMSACK 16 KM NORTHEAST OF CANORA,63.9,367,Keeseekoose,"PO BOX 1120, KAMSACK, SK, S0A 1S0"
9236,KEESEEKOOSE 66-KE-02,13 KM NORTHEAST OF CANORA,64.8,367,Keeseekoose,"PO BOX 1120, KAMSACK, SK, S0A 1S0"
9283,KEESEEKOOSE 66-KE-03,32 KM EAST OF BUCHANAN,59.6,367,Keeseekoose,"PO BOX 1120, KAMSACK, SK, S0A 1S0"
9253,KEESEEKOOSE 66-KE-04,15 KM EAST OF CANORA 26 KM NORTHWEST OF KAMSACK,127.3,367,Keeseekoose,"PO BOX 1120, KAMSACK, SK, S0A 1S0"
9256,KEESEEKOOSE 66-KE-05,19 KM NORTHEAST OF CANORA 29 KM NORTHWEST OF KAMSACK,258.1,367,Keeseekoose,"PO BOX 1120, KAMSACK, SK, S0A 1S0"
9235,KEESEEKOOSE 66-SA-01,16 KM NORTHWEST OF SALTCOATS,59.5,367,Keeseekoose,"PO BOX 1120, KAMSACK, SK, S0A 1S0"
9234,KEESEEKOOSE 66-SA-02,15 KM NORTHWEST OF SALTCOATS,64.8,367,Keeseekoose,"PO BOX 1120, KAMSACK, SK, S0A 1S0"
9251,KEESEEKOOSE 66-ST-01,19 KM NORTH OF KAMSACK 38 KM EAST OF CANORA,62.7,367,Keeseekoose,"PO BOX 1120, KAMSACK, SK, S0A 1S0"
9254,KEESEEKOOSE 66-ST-02,29 KM EAST OF CANORA 17 KM NORTHWEST OF KAMSACK,194.2,367,Keeseekoose,"PO BOX 1120, KAMSACK, SK, S0A 1S0"
9255,KEESEEKOOSE 66-ST-03,14 KM NORTH OF KAMSACK 42 KM EAST OF CANORA,129.5,367,Keeseekoose,"PO BOX 1120, KAMSACK, SK, S0A 1S0"
6552,KEESEEKOOSE 66A,24 KM N/N OF/DE KAMSACK,3.6,367,Keeseekoose,"PO BOX 1120, KAMSACK, SK, S0A 1S0"
9354,KEESEEKOOSE KK 66-ST-04,FIVE QUARTER SECTIONS GENERALLY SE OF ST PHILIPS SASK,332.0,367,Keeseekoose,"PO BOX 1120, KAMSACK, SK, S0A 1S0"
9329,TREATY FOUR RESERVE GROUNDS 77,ADJACENT TO AND WEST OF FORT QU'APPELLE,99.2,378,Carry The Kettle,"PO BOX 57, SINTALUTA, SK, S0G 4N0"
6553,THE KEY 65,26 KM NW/NO OF/DE KAMSACK,6404.8,368,The Key First Nation,"PO BOX 70, NORQUAY, SK, S0A 2V0"
9329,TREATY FOUR RESERVE GROUNDS 77,ADJACENT TO AND WEST OF FORT QU'APPELLE,99.2,378,Carry The Kettle,"PO BOX 57, SINTALUTA, SK, S0G 4N0"
9155,BEARDY'S & OKEMASIS 96 & 97-A,"16 KM NORTH OF ROSTHERN, 45 KM NORTHWEST OF WAKAW",4524.3,369,Beardy's and Okemasis,"PO BOX 340, DUCK LAKE, SK, S0K 1J0"
6554,BEARDY'S 97 AND OKEMASIS 96,58 KM SW/SO OF/DE PRINCE ALBERT,11324.0,369,Beardy's and Okemasis,"PO BOX 340, DUCK LAKE, SK, S0K 1J0"
9269,BEARDY'S AND OKEMASIS 96 & 97-B,54 KM SOUTHEAST OF LANIGAN AND 23 KM SOUTHWEST OF WYNYARD,1369.0,369,Beardy's and Okemasis,"PO BOX 340, DUCK LAKE, SK, S0K 1J0"
9463,BEARDY'S AND OKEMASIS 96 & 97-C,20 KM NORTHEAST OF BLAINE LAKE (CITY),2851.5,369,Beardy's and Okemasis,"PO BOX 340, DUCK LAKE, SK, S0K 1J0"
9063,WILLOW CREE,ADJACENT TO DUCK LAKE 50 KM SW OF PRINCE ALBERT,277.2,369,Beardy's and Okemasis,"PO BOX 340, DUCK LAKE, SK, S0K 1J0"
6499,CUMBERLAND 100A,61 KM SE/SE OF/DE PRINCE ALBERT,7899.2,370,James Smith,"PO BOX 1059, MELFORT, SK, S0E 1A0"
6500,JAMES SMITH 100,58 KM E/E OF/DE PRINCE ALBERT,7200.3,370,James Smith,"PO BOX 1059, MELFORT, SK, S0E 1A0"
6555,MUSKODAY FIRST NATION,19 KM SE/SE OF/DE PRINCE ALBERT,9713.9,371,Muskoday First Nation,"PO BOX 99, MUSKODAY, SK, S0J 3H0"
9988,MUSKODAY FIRST NATION RESERVE NO. 99A,SASKATCHEWAN,259.0,371,Muskoday First Nation,"PO BOX 99, MUSKODAY, SK, S0J 3H0"
9989,MUSKODAY FIRST NATION RESERVE NO. 99B,SASKATCHEWAN,312.7,371,Muskoday First Nation,"PO BOX 99, MUSKODAY, SK, S0J 3H0"
6556,WHITECAP NO. 94,29 KM S/S OF/DE SASKATOON,1894.5,372,Whitecap Dakota First Nation,"182 CHIEF WHITECAP TRAIL, WHITECAP, SK, S7K 2L2"
6557,ONE ARROW 95,53 KM SW/SO OF/DE PRINCE ALBERT,5435.0,373,One Arrow First Nation,"PO BOX 147, BELLEVUE, SK, S0K 3Y0"
9325,ONE ARROW 95-1A,27 KM NORTHEAST OF HAGUE,109.0,373,One Arrow First Nation,"PO BOX 147, BELLEVUE, SK, S0K 3Y0"
9379,ONE ARROW 95-1B,8 KM SOUTHEAST OF DUCK LAKE (CITY),73.4,373,One Arrow First Nation,"PO BOX 147, BELLEVUE, SK, S0K 3Y0"
9380,ONE ARROW 95-1C,9 KM SOUTHWEST OF ALVENA,227.0,373,One Arrow First Nation,"PO BOX 147, BELLEVUE, SK, S0K 3Y0"
9381,ONE ARROW 95-1D,11 KM EAST OF DUCK LAKE (CITY),193.0,373,One Arrow First Nation,"PO BOX 147, BELLEVUE, SK, S0K 3Y0"
9475,ONE ARROW 95-1E,17 KM NORTHWEST OF CUDWORTH,1061.0,373,One Arrow First Nation,"PO BOX 147, BELLEVUE, SK, S0K 3Y0"
9476,ONE ARROW 95-1F,17 KM NORTHEAST OF DUCK LAKE (CITY),441.0,373,One Arrow First Nation,"PO BOX 147, BELLEVUE, SK, S0K 3Y0"
9444,ONE ARROW 95-1G,26 KM EAST OF BLAINE LAKE (CITY),547.0,373,One Arrow First Nation,"PO BOX 147, BELLEVUE, SK, S0K 3Y0"
9406,ONE ARROW 95-1H,8 KM NORTHEAST OF ALVENA,251.0,373,One Arrow First Nation,"PO BOX 147, BELLEVUE, SK, S0K 3Y0"
9478,ONE ARROW 95-1I,27 KM NORTHWEST OF WAKAW,665.0,373,One Arrow First Nation,"PO BOX 147, BELLEVUE, SK, S0K 3Y0"
9858,ONE ARROW 95-1J,,1991.5,373,One Arrow First Nation,"PO BOX 147, BELLEVUE, SK, S0K 3Y0"
9684,SOUNDING SKY,,0.1,373,One Arrow First Nation,"PO BOX 147, BELLEVUE, SK, S0K 3Y0"
9141,TIPAMAHTO ASKI 95A,15 KM NORTHWEST OF DUCK LAKE (CITY),129.0,373,One Arrow First Nation,"PO BOX 147, BELLEVUE, SK, S0K 3Y0"
9063,WILLOW CREE,ADJACENT TO DUCK LAKE 50 KM SW OF PRINCE ALBERT,277.2,369,Beardy's and Okemasis,"PO BOX 340, DUCK LAKE, SK, S0K 1J0"
6558,MISTAWASIS 103,68 KM W/O OF/DE PRINCE ALBERT,12544.3,374,Mistawasis Nêhiyawak,"PO BOX 250, LEASK, SK, S0J 1M0"
9725,MISTAWASIS 103A,,66.1,374,Mistawasis Nêhiyawak,"PO BOX 250, LEASK, SK, S0J 1M0"
9729,MISTAWASIS 103B,,136.1,374,Mistawasis Nêhiyawak,"PO BOX 250, LEASK, SK, S0J 1M0"
10031,MISTAWASIS I. R. 103G,,28.1,374,Mistawasis Nêhiyawak,"PO BOX 250, LEASK, SK, S0J 1M0"
10053,MISTAWASIS I. R. NO. 103J,,253.0,374,Mistawasis Nêhiyawak,"PO BOX 250, LEASK, SK, S0J 1M0"
10012,MISTAWASIS I.R. 103E,Within 4 Km of Leask Urban Centre,8.0,374,Mistawasis Nêhiyawak,"PO BOX 250, LEASK, SK, S0J 1M0"
10035,MISTAWASIS I.R. NO. 103F,,127.6,374,Mistawasis Nêhiyawak,"PO BOX 250, LEASK, SK, S0J 1M0"
10036,MISTAWASIS I.R. NO. 103H,,129.0,374,Mistawasis Nêhiyawak,"PO BOX 250, LEASK, SK, S0J 1M0"
10037,MISTAWASIS I.R. NO. 103I,,59.3,374,Mistawasis Nêhiyawak,"PO BOX 250, LEASK, SK, S0J 1M0"
10042,MISTAWASIS INDIAN RESERVE NO. 103L,SEC 12 TWP 47 RGE 6 W3M NE 1/4,64.8,374,Mistawasis Nêhiyawak,"PO BOX 250, LEASK, SK, S0J 1M0"
9854,MISTAWASIS NO 103C,,121.3,374,Mistawasis Nêhiyawak,"PO BOX 250, LEASK, SK, S0J 1M0"
9804,MISTAWASIS NO. 103D,,1948.1,374,Mistawasis Nêhiyawak,"PO BOX 250, LEASK, SK, S0J 1M0"
9072,ASIMAKANISEEKAN ASKIY 102A,"WITHIN SASKATOON, N 1/2 SEC 25 TWP 36 RGE 5 W3M & S 1/2 SEC 36 TWP 36 RGE 5 W3M",14.3,375,Muskeg Lake Cree Nation #102,"PO BOX 248, MARCELIN, SK, S0J 1R0"
9950,ASIMAKANISEEKAN ASKIY NO. 102B,,0.2,375,Muskeg Lake Cree Nation #102,"PO BOX 248, MARCELIN, SK, S0J 1R0"
9438,LAKE PITIHKWAKEW 102B,35 KM NORTHWEST OF BLAINE LAKE (CITY),1115.0,375,Muskeg Lake Cree Nation #102,"PO BOX 248, MARCELIN, SK, S0J 1R0"
9270,MUSKEG LAKE 102B,67 KM NORTHEAST OF BATTLEFORD AND 110 KM NORTHEAST OF WILKIE,969.6,375,Muskeg Lake Cree Nation #102,"PO BOX 248, MARCELIN, SK, S0J 1R0"
9485,MUSKEG LAKE 102C,22 KM NORTH OF BLAINE LAKE,313.4,375,Muskeg Lake Cree Nation #102,"PO BOX 248, MARCELIN, SK, S0J 1R0"
9271,MUSKEG LAKE 102D,43 KM SOUTHWEST OF SHELLBROOK AND 58 KM NORTHWEST OF ROSTHERN,131.2,375,Muskeg Lake Cree Nation #102,"PO BOX 248, MARCELIN, SK, S0J 1R0"
9272,MUSKEG LAKE 102E,55 KM NORTHWEST OF ROSTHERN AND 49 KM SOUTH OF SHELLBROOK,162.0,375,Muskeg Lake Cree Nation #102,"PO BOX 248, MARCELIN, SK, S0J 1R0"
9273,MUSKEG LAKE 102F,41 KM SOUTHWEST OF SHELLBROOK AND 54 KM NORTHWEST OF ROSTHERN,13.9,375,Muskeg Lake Cree Nation #102,"PO BOX 248, MARCELIN, SK, S0J 1R0"
9337,MUSKEG LAKE 102G,25 KM NORTH OF MUSKEG LAKE I.R. # 102 27 KM NORTH OF BLAINE LAKE (CITY),128.8,375,Muskeg Lake Cree Nation #102,"PO BOX 248, MARCELIN, SK, S0J 1R0"
9445,MUSKEG LAKE 102H,13 KM NORTHEAST OF BLAINE LAKE (CITY),193.9,375,Muskeg Lake Cree Nation #102,"PO BOX 248, MARCELIN, SK, S0J 1R0"
9495,MUSKEG LAKE 102J,,129.5,375,Muskeg Lake Cree Nation #102,"PO BOX 248, MARCELIN, SK, S0J 1R0"
9462,MUSKEG LAKE 102K,21 KM NORTH OF BLAINE LAKE (CITY),6.4,375,Muskeg Lake Cree Nation #102,"PO BOX 248, MARCELIN, SK, S0J 1R0"
9617,MUSKEG LAKE 102L,,257.6,375,Muskeg Lake Cree Nation #102,"PO BOX 248, MARCELIN, SK, S0J 1R0"
6559,MUSKEG LAKE CREE NATION 102,93 KM N/N OF/DE SASKATOON,7245.4,375,Muskeg Lake Cree Nation #102,"PO BOX 248, MARCELIN, SK, S0J 1R0"
9951,MUSKEG LAKE NO. 102M,,56.0,375,Muskeg Lake Cree Nation #102,"PO BOX 248, MARCELIN, SK, S0J 1R0"
10102,NAKAWAY AHKEENG,,0.2,376,Yellow Quill,"PO BOX 40, YELLOW QUILL, SK, S0A 3A0"
9329,TREATY FOUR RESERVE GROUNDS 77,ADJACENT TO AND WEST OF FORT QU'APPELLE,99.2,378,Carry The Kettle,"PO BOX 57, SINTALUTA, SK, S0G 4N0"
10032,YELLOW QUILL 90-10,,0.2,366,Cote First Nation 366,"PO BOX 1659, KAMSACK, SK, S0A 1S0"
10052,YELLOW QUILL 90-11,,65.2,361,Cowessess,"PO BOX 100, COWESSESS, SK, S0G 5L0"
9654,YELLOW QUILL 90-18,,195.0,389,Day Star,"PO BOX 277, PUNNICHY, SK, S0A 3C0"
9265,YELLOW QUILL 90-8,27 KM NORTH OF KELVINGTON 85 KM NORTH OF FOAM LAKE,64.8,390,Fishing Lake First Nation,"PO BOX 508, WADENA, SK, S0A 4J0"
9952,YELLOW QUILL 90-9,,7082.7,294,Gambler First Nation,"PO BOX 250, BINSCARTH, MB, R0J 0G0"
6560,YELLOWQUILL 90,19 KM NW/NO OF/DE KELVINGTON,5858.8,391,George Gordon First Nation,"PO BOX 248, PUNNICHY, SK, S0A 3C0"
6561,KINISTIN 91,"SECS 1,2,3,4,9,10,11,12,16, S 1/2 SEC 14 & S 1/2 SEC 15 TWP 53, RGE 1, W3M 39 KM SE OF MELFORT SEC 8 TWP 42 RGE 15 W2M N",3626.8,377,Kinistin Saulteaux Nation,"PO BOX 2590, TISDALE, SK, S0E 1T0"
6562,KINISTIN 91A,"PT N 1/2 SEC 27, PT SEC 34, W 1/3 OF SEC 35, TWP 40, RGE 6 W2M & PT S 1/2 OF SEC 34 TWP 41 RGE 16 W2M",457.3,377,Kinistin Saulteaux Nation,"PO BOX 2590, TISDALE, SK, S0E 1T0"
79474,KINISTIN I.R. NO 91,,63.9,377,Kinistin Saulteaux Nation,"PO BOX 2590, TISDALE, SK, S0E 1T0"
9329,TREATY FOUR RESERVE GROUNDS 77,ADJACENT TO AND WEST OF FORT QU'APPELLE,99.2,378,Carry The Kettle,"PO BOX 57, SINTALUTA, SK, S0G 4N0"
6563,ASSINIBOINE 76,80 KM E/E OF/DE REGINA,16590.4,378,Carry The Kettle,"PO BOX 57, SINTALUTA, SK, S0G 4N0"
9388,CARRY THE KETTLE 76-1,21KM NORTHEAST OF SINTALUTA,192.4,378,Carry The Kettle,"PO BOX 57, SINTALUTA, SK, S0G 4N0"
9599,CARRY THE KETTLE 76-10,,525.2,378,Carry The Kettle,"PO BOX 57, SINTALUTA, SK, S0G 4N0"
